Le Festin - But good,https://www.youtube.com/watch?v=1cJlvcC4lno,8,Velkommen til Rottefarmen23,
Jungle (Rico nasty remix) - Fred again...,https://www.youtube.com/watch?v=jDXOa9V2agQ,66,Kan vi ikke sende kørsel efter bundere?,
Cupid - Fifty Fifty,https://www.youtube.com/watch?v=PtXF3ORXl-w,10,"Hvis du mærker noget hårdt mod munden og bliver våd mellem benene, så holder du nok din øl forkeert. Skål",
Succession Theme ,https://www.youtube.com/watch?v=LlgWqcHXD8w,0,Orv har i set succession? ,
Party Time - The Northern Boys,https://www.youtube.com/watch?v=sRjB-J-tUbI,7,"Pastaen blev opfundet af Thomas Pasta, skål",
Astronaut in the Ocean,https://www.youtube.com/watch?v=MEg-oqI9qmw,26,Trykbong ned i sovsen tricket?,
Help Im A Fish - Creamy,https://www.youtube.com/watch?v=RqqOVo6q5J0,18,Hvis nu man forvandlede alle vektorer om til fisk så kan vi spare en masse i mad budgettet ,
Zidadaday - Zididada,https://www.youtube.com/watch?v=1qety-XuYwI,0,"Mette har måske taget store bededag, men hun vil aldrig tage zididadaday",
Mario jump ,https://soundcloud.com/elmarcelo99/super-mario-odyssey-main-theme-lets-do-the-odyssey,10,"Ny veto, man skal BLJ'e ind i køkkenet, Skål",
Good Lookin' - Dixon Dallas ,https://www.youtube.com/watch?v=SD5kS1hzL-U,9,"Følelsen når man ser den aller første rus, skål",
legalizenukes - Dj Smokey,https://www.youtube.com/watch?v=mHPx-nPcMJk,0,"Now I have become Bums, the destroyer of kabs",
VOLDSOM - FABRÄK,https://www.youtube.com/watch?v=XJj7KLV-Qy0,21,"Følelsen når man ser den aller sidste rus, skål",
Du er min bedste ven - Otto Brandenburg,https://www.youtube.com/watch?v=9Q6v4HRjxiE,0,Jeg er bare et stykke legetøj,
Kom af sig selv - Arti,https://www.youtube.com/watch?v=xExTkrnHPTU,6,Kan du ikke sige til gerda at hun skal sige til Jan at han skal sige til KABS at maden er forsinket på ubestemt tid ,
Cha Cha Cha - Käärija,https://www.youtube.com/watch?v=l6rS8Dv5g-8,73,Det eneste der kunne gøre den her tur bedre er en finsk sauns og lussinger,
Am I Dreaming? - Spiderverse,https://www.youtube.com/watch?v=7aUZtDaxS60,63,Jeg respektere hver eneste spiderman herinde,
Frog on the floor - 100gecs,https://www.youtube.com/watch?v=9j_TuMSw7H4,8,Here come dat boi,
Coconut mall,https://www.youtube.com/watch?v=cscuCIzItZQ,0,you_just_got_coconut_malled.mp3,
55burgers,https://www.youtube.com/watch?v=TotjQAfzMpo,4,Okay vi har glemt at lave mad send kørsel mod maccen ,
Jeg tager imod - Thomas Helmig,https://www.youtube.com/watch?v=zgpNAWKWKUU,0,Jeg synes en vektor skal tage imod mine boller,
Skibidi Bop Yes Yes,https://www.youtube.com/watch?v=mCRPd_xHf88,3,"Drik en øl hvis du er fra 04, din lille mide",
Vendetta,https://www.youtube.com/watch?v=B0RybuHIslA,0,Den her sang lyder som opvask lugter,
Svaler og Lærker,https://soundcloud.com/user222153178/tracks,22,Fuglekikkeri ,
Gider ik at danse,https://soundcloud.com/user222153178/02-gider-ik-at-danse-wav?si=2488b901daca40a2ad9a359965ad31f6&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,75,,
Im Just Ken - Ryan Gosling,https://www.youtube.com/watch?v=wwux9KiBMjE,154,"Russere er Kenough, skål",
Beat goes on - Campbell,https://www.youtube.com/watch?v=AYmi8vqiRi0,30,,
20190724,https://www.youtube.com/watch?v=975vpVzfeRY,0,,
Thé á la menthe (The Lazer Dance),https://www.youtube.com/watch?v=k4Xx0k_TVY0,0,,
Renaissance (Main Title Theme),https://www.youtube.com/watch?v=TwdHA-nbemk,0,,
Emphasis on Scat (Secret Stage),https://www.youtube.com/watch?v=9CUzNF3GuRk,0,,
VLTJ X STOR MAND,https://soundcloud.com/heyshorty-mashups/vltj-torfisk-stor-mand-mashup-1,0,,
Rutsj House Remix,https://soundcloud.com/ebbe-nyby/rutsj-house-remix,0,,
Akume heaven,https://www.youtube.com/watch?v=IJ8cOH45fAU,4,,
Curb your enthusiam ,https://www.youtube.com/watch?v=Ag1o3koTLWM,0,,
TEKNOBUMS,https://soundcloud.com/user-535523944/teknobums-20,19,,
Så er der bong,https://soundcloud.com/viktor-holmenlund-larsen/middelanderbongsangen,40,Jeg har aldrig set en vektor bonge,
"Rich Flex - Drake, 21",https://www.youtube.com/watch?v=I4DjHHVHWAE,31,,
Hellicopter Hellicopter ,https://www.youtube.com/watch?v=a0DbzUe-r4Q,0,"Hov, hvad er det der kommer den her vej?",
100 masheups ,https://soundcloud.com/b-g321/mash-up-100-songs-in-10-mins,120,,
I Just wanna be a pickle,https://www.youtube.com/watch?v=YhtoyexmLQA,5,Jeg er pickle bums!!,
Party Rock Anthem ,https://www.youtube.com/watch?v=KQ6zr6kCPj8,114,,
Glamorous - Fergie,https://www.youtube.com/watch?v=q0SyUgw98tE,17,,
Havana Noot,https://www.youtube.com/watch?v=cYlB3dN-udY,37,,
Kærester - Drill Remix - Lærke ,https://www.youtube.com/watch?v=BfX_a0kPQMk,44,"Nej Kabs, jeg gider ikke være kærester med dig gå nu væk",
Hestepik,https://www.youtube.com/watch?v=84JoTEBMNxM,19,Køkkenrulle pik?,
Shooting Stars,https://www.youtube.com/watch?v=feA64wXhbjo,22,,
DONTTRUSTME - 3OH!3,https://www.youtube.com/watch?v=GSjlxbxAymM,60,"Åh nej lille Naive rus, man skal aldrig stole på en vektor, skål",
Girls Club,https://www.youtube.com/watch?v=MGJZfmYMltM,144,vi har IKKE sex i bumseland lige nu,
"Susanne, Birgitte, Hanne - Otto Brandenburg",https://www.youtube.com/watch?v=q9arv96fIQs,4,,
AK-47 - BFL,https://www.youtube.com/watch?v=iMscgpHUD5w,14,"Nu vi kommet til den del af klub100'eren hvor Gerta Galhatter skal nakkeskydes og med nakkeskud mener jeg drikke, skål",
Flowers - Miley Cyrus,https://www.youtube.com/watch?v=G7KNmW9a75Y,62,"Denne vektor prøver at stjæle månen, men hun endte istedet med at stjæle vores hjerter, skål Maj",
Vil du med ud og se min pik - Suspekt,https://www.youtube.com/watch?v=5lKO908JFAQ,45,"Den her vektor er 1/3 af min højde, Lone drik",
Uranhjorten,https://www.youtube.com/watch?v=RL8wRrQGbHg,34,"Jeg troede dit navn var Kong Fulde Jan, men du ser ufattelig ædru ud lige nu, skål",
Timber - Ke$ha,https://www.youtube.com/watch?v=hHUbLv4ThOo,45,"Joakim von Ølst Elsker at have styr på tidsplanen og tidsplanen siger at du skal bunde, skål",
Se mig nu,https://www.youtube.com/watch?v=1M0OPEPk0mA,68,"ROTTE ROTTE ROTTE, Rottefar skal rotte sin øl, skål ",
Hips dont lie,https://www.youtube.com/watch?v=DUT5rEU6pqM,9,"Woody du er bare et stykke legetøj, skål",
Stor mand,https://www.youtube.com/watch?v=HfmWPfqyYyY,6,"Jeg har ALDRIG set en lampe bunde, skål Kabs",
Feberdrømmer XX Dubai,https://www.youtube.com/watch?v=gbb-XCypg4w,33,Chef creme brûLeander,
Er du Dum Eller Hvad,https://www.youtube.com/watch?v=8KaJnmD0u3c,8,Chef champagnJens,
Starboy,https://www.youtube.com/watch?v=34Na4j8AVgA,57,Chef sous Vivian,
Alarn un dans,https://www.youtube.com/watch?v=VHoT4N43jK8,30,Chef Leif-øl-tårn,
Best song ever - 1D,https://www.youtube.com/watch?v=o_v9MY_FMcw,160,,
Gay Frogs,https://www.youtube.com/watch?v=UkQdpciFU_g,3,,
Bangarang,https://www.youtube.com/watch?v=YJVmu6yttiw,0,,
Your new morning alarm,https://www.youtube.com/watch?v=enYdAxVcNZA,0,,
Megalovania ,https://www.youtube.com/watch?v=wDgQdr8ZkTw,0,,
Pisk mig hårdt - Dario Von Slutty,https://www.youtube.com/watch?v=RX2BD_tDZOY,43,,
Mæ å min kadett,https://www.youtube.com/watch?v=2IKU5W6fhlI,10,,
Hvor som helst - tessa ,https://www.youtube.com/watch?v=-tyHJBeXwSE,8,,
Numser alle steder,https://soundcloud.com/nikolaj-nancke-thordsen/numser-alle-steder,21,,
Knep med min fætter,https://soundcloud.com/andet-jazz/andet-jazz-knep-med-min-faetter,9,,
BUMS,https://soundcloud.com/user222153178/bums,12,,
Du er Søren hus (due Cover),https://www.youtube.com/watch?v=IuiB48M1Lmk,46,,
This is how we do it,https://www.youtube.com/watch?v=0hiUuL5uTKc,8,,
Mums filibaba,https://www.youtube.com/watch?v=2n_IUs-GJw4,10,,
Im a Flamingo,https://www.youtube.com/watch?v=dMURXe2v1kk,0,,
Lidt i fem,https://soundcloud.com/lucas-gramme/sets/rasmus-seedak,49,Tilgiv ham nu,
Julemand fortælmig,https://soundcloud.com/holdet-1/2-santa-tell-me-julemand,10,,
3 pepsi maks ,https://soundcloud.com/casper-christensen-18/3-pepsimaxpaenaften-1,1,,
Frikadeller og Snaps,https://soundcloud.com/aegte/frikadeller-og-snaps,1,,
Frisk pige,https://soundcloud.com/user-974051224-946338915/frisk-pige,3,,
Wow - Post malone,https://www.youtube.com/watch?v=393C3pr2ioY,68,,
Dance the night away - Dua Lipa,https://www.youtube.com/watch?v=OiC1rgCPmUQ,28,,
Dance wiv me - Dizzie Rascal,https://www.youtube.com/watch?v=c2MiyZx8MTY,17,,
Det skal sgu være hårdt,https://soundcloud.com/magnus-vagner-johannesen/jamen-det-skal-sku-vaere-hardt,30,,
Stupid Horse - 100 gecs,https://www.youtube.com/watch?v=9YO5ruvFSCU&ab_channel=100gecs,60,,
Speed Drive - Charlixcx,https://www.youtube.com/watch?v=TxZwCpgxttQ&ab_channel=CharliXCX,56,Den her barbie er stjernepsykopat,
Day Man ,https://www.youtube.com/watch?v=kofR7f7oNnE,8,,
Vi skal ud i det blå - Det brune Punktum,https://www.youtube.com/watch?v=6I-BTlgcVqU&ab_channel=WarnerMusicDenmark,19,,
This hell - Rina Sawayama,https://www.youtube.com/watch?v=vapT7WBkBdY,94,,
Stick - Dreamville,https://www.youtube.com/watch?v=r4Wsi4qkfYY,90,,
StikNarkoman ,https://soundcloud.com/jacob-toft-petersen/stiknarkoman,0,,
Duer!,https://soundcloud.com/user222153178/duer,0,,
Ani Kuni,https://www.youtube.com/watch?v=7nhO0MMx9Ik&ab_channel=Polo%26Pan-Topic,154,,
Baianá (Yo Johnny Remix),https://www.youtube.com/watch?v=iOHIErjhgH8&ab_channel=Gilli-Topic,0,,
Sut den op fra slap - ukulele hanne,https://www.youtube.com/watch?v=a008xw2MMK4,42,,
Sug coke fra mit røvhul,https://www.youtube.com/watch?v=bjK5KgcPHr0,7,,
Baseline Junkie - Dizzie Rascal ,https://www.youtube.com/watch?v=CrDbTwtRbws,0,,
Danafrost fra brugsen,https://soundcloud.com/faultic/danefrost-fra-brugsen,0,,
Hulu buluu,https://youtu.be/Ue4PHfMWKzA,15,,
